Original,Target,Condition
(ite (= RewriteX 0) (* RewriteX RewriteY) (div (* RewriteX RewriteY) (div RewriteX RewriteX)));RewriteX:Int;RewriteY:Int,(* RewriteX RewriteY);RewriteX:Int;RewriteY:Int,
(ite (= (- RewriteX RewriteY) 0) (div (- RewriteY RewriteX) (- RewriteX RewriteY)) (div (- RewriteX RewriteY) (- RewriteY RewriteX)));RewriteX:Int;RewriteY:Int,(div (- RewriteY RewriteX) (- RewriteX RewriteY));RewriteX:Int;RewriteY:Int,
(ite (= (- RewriteY RewriteX) 0) (div (- RewriteY RewriteX) (- RewriteY RewriteX)) (div (- RewriteX RewriteY) (- RewriteX RewriteY)));RewriteX:Int;RewriteY:Int,(div (- RewriteY RewriteX) (- RewriteY RewriteX));RewriteX:Int;RewriteY:Int,
(- (* RewriteX RewriteX) (* RewriteY RewriteY));RewriteX:Int;RewriteY:Int,(* (- RewriteX RewriteY) (+ RewriteX RewriteY));RewriteX:Int;RewriteY:Int,
(* (- RewriteX RewriteY) (+ RewriteX RewriteY));RewriteX:Int;RewriteY:Int,(- (* RewriteX RewriteX) (* RewriteY RewriteY));RewriteX:Int;RewriteY:Int,
(ite (= (- RewriteY RewriteX) 0) (div 0 (- RewriteY RewriteX)) (div 0 (- RewriteX RewriteY)));RewriteX:Int;RewriteY:Int,(div 0 (- RewriteY RewriteX));RewriteX:Int;RewriteY:Int,
(ite (= RewriteX 0) 0 (* RewriteX (* RewriteY (div 0 RewriteX))));RewriteX:Int;RewriteY:Int,0:Int_Const, 
(ite (or (= RewriteX 0) (= RewriteY 0)) (* (div 0 RewriteX) (div 0 RewriteY)) (* (div 0 RewriteX) (div RewriteX RewriteY)));RewriteX:Int;RewriteY:Int,(* (div 0 RewriteX) (div 0 RewriteY));RewriteX:Int;RewriteY:Int,
(ite (or (= RewriteX 0) (= RewriteY 0)) (* (div 0 RewriteX) (div RewriteX RewriteY)) (* (div 0 RewriteX) (div 0 RewriteY)));RewriteX:Int;RewriteY:Int,(* (div 0 RewriteX) (div RewriteX RewriteY));RewriteX:Int;RewriteY:Int,
(ite (or (= RewriteX 0) (= RewriteY 0)) (* (div 0 RewriteY) (div RewriteY RewriteX)) (* (div 0 RewriteX) (div RewriteX RewriteY)));RewriteX:Int;RewriteY:Int,(* (div 0 RewriteY) (div RewriteY RewriteX));RewriteX:Int;RewriteY:Int,
(abs (abs RewriteX));RewriteX:Int,(abs RewriteX);RewriteX:Int,
(abs (* RewriteX RewriteX));RewriteX:Int,(* RewriteX RewriteX);RewriteX:Int,
(ite (= RewriteX 0) (div (abs RewriteX) RewriteX) (div RewriteX (abs RewriteX)));RewriteX:Int,(div (abs RewriteX) RewriteX);RewriteX:Int,
(ite (= RewriteX 0) (div RewriteX (abs RewriteX)) (div (abs RewriteX) RewriteX));RewriteX:Int,(div RewriteX (abs RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (div RewriteX RewriteX) (div (abs RewriteX) (abs RewriteX)));RewriteX:Int,(div RewriteX RewriteX);RewriteX:Int,
(ite (= RewriteX 0) (div (abs RewriteX) (- RewriteX)) (div (- RewriteX) (abs RewriteX)));RewriteX:Int,(div (abs RewriteX) (- RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (div (- RewriteX) (abs RewriteX)) (div (abs RewriteX) (- RewriteX)));RewriteX:Int,(div (- RewriteX) (abs RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (div RewriteX RewriteX) (div (* RewriteX RewriteX) (* RewriteX RewriteX)));RewriteX:Int,(div RewriteX RewriteX);RewriteX:Int,
(ite (= RewriteX 0) (div RewriteX RewriteX) (div (+ RewriteX RewriteX) (+ RewriteX RewriteX)));RewriteX:Int,(div RewriteX RewriteX);RewriteX:Int,
(* RewriteX 1);RewriteX:Int,RewriteX;RewriteX:Int,
(- RewriteX 0);RewriteX:Int,RewriteX;RewriteX:Int,
(+ RewriteX 0);RewriteX:Int,RewriteX;RewriteX:Int,
(div RewriteX 1);RewriteX:Int,RewriteX;RewriteX:Int,
(- RewriteX RewriteX);RewriteX:Int,0:Int_Const,
(* RewriteX (- 1));RewriteX:Int,(- RewriteX);RewriteX:Int,
(- 0 RewriteX);RewriteX:Int,(- RewriteX);RewriteX:Int,
(- RewriteX);RewriteX:Int,(div RewriteX (- 1));RewriteX:Int,
(div RewriteX (- 1));RewriteX:Int,(- RewriteX);RewriteX:Int,
(abs (+ RewriteX RewriteX));RewriteX:Int,(* (abs RewriteX) 2);RewriteX:Int,
(* (abs RewriteX) 2);RewriteX:Int,(abs (+ RewriteX RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (+ RewriteX (div 0 RewriteX)) (div (* RewriteX RewriteX) RewriteX));RewriteX:Int,(+ RewriteX (div 0 RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (div (* RewriteX RewriteX) RewriteX) (+ RewriteX (div 0 RewriteX)));RewriteX:Int,(div (* RewriteX RewriteX) RewriteX);RewriteX:Int,
(ite (= RewriteX 0) (- (div 0 RewriteX) RewriteX) (div (* RewriteX RewriteX) (- RewriteX)));RewriteX:Int,(- (div 0 RewriteX) RewriteX);RewriteX:Int,
(ite (= RewriteX 0) (div (* RewriteX RewriteX) (- RewriteX)) (- (div 0 RewriteX) RewriteX));RewriteX:Int,(div (* RewriteX RewriteX) (- RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (+ (div 0 RewriteX) (abs RewriteX)) (div (* RewriteX RewriteX) (abs RewriteX)));RewriteX:Int,(+ (div 0 RewriteX) (abs RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (div (* RewriteX RewriteX) (abs RewriteX)) (+ (div 0 RewriteX) (abs RewriteX)));RewriteX:Int,(div (* RewriteX RewriteX) (abs RewriteX));RewriteX:Int,
(* RewriteX 0);RewriteX:Int,0:Int_Const,
(- RewriteX 1);RewriteX:Int,(+ RewriteX (- 1));RewriteX:Int,
(+ RewriteX (- 1));RewriteX:Int,(- RewriteX 1);RewriteX:Int,
(- RewriteX (- 1));RewriteX:Int,(+ RewriteX 1);RewriteX:Int,
(+ RewriteX 1);RewriteX:Int,(- RewriteX (- 1));RewriteX:Int,
(ite (= RewriteX 0) (div 0 (abs RewriteX)) (div 0 RewriteX));RewriteX:Int,(div 0 (abs RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (div 0 RewriteX) (div 0 (abs RewriteX)));RewriteX:Int,(div 0 RewriteX);RewriteX:Int,
(ite (= RewriteX 0) 0 (* RewriteX (div 0 RewriteX)));RewriteX:Int,0:Int_Const,
(ite (= RewriteX 0) (div 0 (+ RewriteX RewriteX)) (div 0 RewriteX));RewriteX:Int,(div 0 (+ RewriteX RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (div 0 RewriteX) (div 0 (+ RewriteX RewriteX)));RewriteX:Int,(div 0 RewriteX);RewriteX:Int,
(ite (= RewriteX 0) (div 0 RewriteX) (div 0 (* RewriteX RewriteX)));RewriteX:Int,(div 0 RewriteX);RewriteX:Int,
(ite (= RewriteX 0) (div (div 0 RewriteX) (- RewriteX)) (div (div 0 RewriteX) RewriteX));RewriteX:Int,(div (div 0 RewriteX) (- RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (div (div 0 RewriteX) RewriteX) (div (div 0 RewriteX) (- RewriteX)));RewriteX:Int,(div (div 0 RewriteX) RewriteX);RewriteX:Int,
(ite (= RewriteX 0) (div (div 0 RewriteX) (abs RewriteX)) (div (div 0 RewriteX) RewriteX));RewriteX:Int,(div (div 0 RewriteX) (abs RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (div (div 0 RewriteX) RewriteX) (div (div 0 RewriteX) (abs RewriteX)));RewriteX:Int,(div (div 0 RewriteX) RewriteX);RewriteX:Int,
(ite (= RewriteX 0) (div (div 0 RewriteX) (+ RewriteX RewriteX)) (div (div 0 RewriteX) RewriteX));RewriteX:Int,(div (div 0 RewriteX) (+ RewriteX RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (div (div 0 RewriteX) RewriteX) (div (div 0 RewriteX) (+ RewriteX RewriteX)));RewriteX:Int,(div (div 0 RewriteX) RewriteX);RewriteX:Int,
(ite (= RewriteX 0) (div (div 0 RewriteX) (* RewriteX RewriteX)) (div (div 0 RewriteX) RewriteX));RewriteX:Int,(div (div 0 RewriteX) (* RewriteX RewriteX));RewriteX:Int,
(ite (= RewriteX 0) (div (div 0 RewriteX) RewriteX) (div (div 0 RewriteX) (* RewriteX RewriteX)));RewriteX:Int,(div (div 0 RewriteX) RewriteX);RewriteX:Int,


(and RewriteX (and RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(and RewriteZ (and RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(and RewriteZ (and RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(and RewriteX (and RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(or RewriteX (or RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(or RewriteZ (or RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(or RewriteZ (or RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(or RewriteX (or RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(xor RewriteX (xor RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(xor (xor RewriteZ RewriteX) RewriteY);RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(xor (xor RewriteZ RewriteX) RewriteY);RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(xor RewriteX (xor RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
